record_id,truck_id,truck_number_plate,vehicle_model,year_bought,service_date,last_service_date,total_km_run,km_after_last_service,avg_daily_km_est,engine_temperature_c,vibrations_level,oil_life_percent,battery_health_percent,route_type,load_profile,ambient_temp_c,service_type,parts_changed_last_service,parts_in_stock_status,technician_id,technician_experience_years,current_queue_length,shift_hours_remaining,brake_pad_thickness_mm,tyre_health_percent,fuel_efficiency_kmpl,approx_past_services,days_until_next_service
1,T0116,EQ62RM4271,Mahindra Blazo X 35,2018,2024-05-16,2024-04-16,403321,6431,211.6,87.6,3.83,79.3,66.1,City,Heavy,32.4,Engine Check,Engine Oil,No,M027,5,0,3.1,10.6,80.4,3.47,10,23.8
2,T0089,GG08XR1435,Scania P410,2015,2024-05-25,2024-05-01,621984,7392,302.8,83.2,2.85,71.0,54.2,Highway,Medium,31.9,Electrical Check,"Coolant, Brake Pads, Alternator",No,M039,7,1,7.6,14.3,73.5,3.0,15,33.7
3,T0130,DJ96KP9337,BharatBenz 3123R,2022,2025-05-24,2025-03-19,176558,17575,262.3,88.1,6.83,35.7,82.1,City,Heavy,39.4,Full Inspection,"Oil Filter, Engine Oil, Coolant, Air Filter",Partial,M034,15,7,5.0,13.3,33.3,2.82,6,30.9
4,T0312,UQ54KD5799,Tata LPT 3718,2019,2022-08-09,2022-06-30,337350,9518,233.1,90.8,3.45,60.6,64.2,Mixed,Light,26.0,Brake Service,Battery,No,M031,15,10,2.4,16.7,66.9,3.97,7,48.4
5,T0142,GD46GK6090,Tata LPT 3718,2019,2022-12-13,2022-11-10,346554,11158,333.8,84.1,4.64,64.0,74.3,Highway,Light,21.6,Electrical Check,"Engine Oil, Alternator",Partial,M034,3,4,7.8,15.2,66.7,4.02,6,37.9
6,T0164,IS78ZD3534,Mahindra Blazo X 35,2017,2024-11-22,2024-10-08,479102,15392,339.1,92.7,3.86,33.3,58.9,Mixed,Light,31.0,Routine Service,"Coolant, Brake Pads, Alternator",No,M032,13,6,3.0,13.9,41.1,4.31,15,38.2
7,T0299,CS68LG2021,Mahindra Blazo X 35,2024,2023-11-18,2023-10-21,49469,8014,285.4,82.4,3.86,69.2,87.0,Highway,Medium,28.8,Full Inspection,"Battery, Coolant, Air Filter, Oil Filter",Partial,M015,9,13,2.6,14.6,68.6,2.64,1,41.1
8,T0093,RV69QI4570,Tata LPT 3718,2016,2024-05-28,2024-04-21,539721,9619,257.0,71.6,3.62,59.4,59.7,City,Light,35.0,Engine Check,"Battery, Clutch Plate",Yes,M017,5,0,5.4,15.5,68.6,4.88,11,66.3
9,T0182,KY84FZ3690,BharatBenz 3123R,2019,2024-05-22,2024-04-19,370917,13346,396.7,80.0,4.96,44.7,69.8,City,Medium,36.9,Routine Service,"Coolant, Brake Pads, Engine Oil",No,M024,11,5,5.9,12.7,60.5,3.8,8,48.8
10,T0299,CS68LG2021,Scania P410,2024,2025-03-17,2025-02-06,57848,14390,367.5,89.9,4.9,46.8,88.0,Highway,Medium,22.8,Brake Service,Alternator,Partial,M013,10,2,2.6,9.8,42.5,3.28,3,44.2
11,T0212,GS05JQ6644,Volvo FM 400,2017,2024-12-06,2024-10-09,494472,21626,371.3,76.5,4.6,12.4,69.3,Highway,Light,35.5,Electrical Check,"Clutch Plate, Oil Filter, Air Filter, Alternator",Yes,M022,14,2,3.6,8.8,28.3,2.73,10,38.2
