truck_number_plate,vehicle_model,year_bought,service_date,last_service_date,total_km_run,km_after_last_service,avg_daily_km_est,engine_temperature_c,vibrations_level,oil_life_percent,battery_health_percent,route_type,load_profile,ambient_temp_c,brake_pad_thickness_mm,tyre_health_percent,fuel_efficiency_kmpl,approx_past_services,parts_changed_last_service,days_until_next_service
MH90AB2262,Mahindra Blazo X,2021,2022-07-28,2021-11-24,473332,1217,228,120,3.71,58,64,Highway,Medium,42,15,68,5.4,16,Fuel Pump,8
MH72AB9798,BharatBenz 2823R,2016,2023-12-15,2021-08-22,342575,20445,88,70,3.71,33,51,City,Medium,32,12,65,6.14,18,Coolant,27
MH81AB4506,Eicher Pro 6035,2020,2023-09-16,2021-12-01,461124,26092,309,125,3.71,26,84,City,Light,34,15,61,2.6,19,Brake Pads,31
MH41AB5756,BharatBenz 2823R,2019,2023-10-19,2021-06-16,79336,28641,431,127,3.71,69,57,Mixed,Medium,42,18,75,4.29,3,Fuel Pump,107
MH57AB7332,BharatBenz 2823R,2018,2024-12-28,2021-06-29,877424,30509,52,111,3.71,33,96,Mixed,Heavy,39,3,77,4.94,3,None,111
MH83AB5898,Ashok Leyland 3718,2023,2023-12-21,2021-03-23,105350,7282,113,71,3.71,52,30,Mixed,Medium,23,17,21,3.77,5,Coolant,41
MH26AB1687,Eicher Pro 6035,2022,2024-02-24,2021-11-06,643849,27036,78,86,3.71,9,29,Highway,Heavy,30,11,84,5.59,3,Fuel Pump,81
MH91AB5106,Eicher Pro 6035,2022,2024-11-30,2021-10-10,560470,34316,421,99,3.71,39,78,Mixed,Light,-4,9,77,6.39,19,Air Filter,47
MH61AB1391,Eicher Pro 6035,2018,2022-05-20,2021-09-17,888387,26433,60,125,3.71,78,74,Highway,Medium,35,6,52,6.27,5,None,41
MH31AB1870,BharatBenz 2823R,2023,2022-12-09,2021-08-29,111240,12118,146,108,3.71,87,39,Mixed,Heavy,12,8,82,3.56,14,Brake Pads,108
MH88AB1432,Mahindra Blazo X,2018,2024-10-24,2021-10-08,725453,8807,407,76,3.71,75,36,Mixed,Medium,43,14,83,3.41,16,Brake Pads,89
MH97AB6922,Eicher Pro 6035,2011,2022-12-23,2021-07-29,449371,27171,491,121,3.71,50,87,City,Medium,2,17,15,6.33,1,Oil Filter,33
MH54AB9811,BharatBenz 2823R,2012,2023-01-17,2021-05-03,620895,10838,252,96,3.71,39,24,Mixed,Medium,9,6,24,4.33,17,Air Filter,33
MH98AB4216,Ashok Leyland 3718,2016,2024-11-08,2021-04-13,761028,38846,460,78,3.71,49,79,Highway,Medium,35,17,51,3.33,11,Oil Filter,53
MH71AB7472,Mahindra Blazo X,2014,2022-09-03,2021-11-29,231196,7048,70,91,3.71,17,42,City,Light,11,16,40,5.33,9,Oil Filter,79
MH35AB2993,Ashok Leyland 3718,2011,2024-07-24,2021-06-30,365014,21664,88,103,3.71,14,65,Highway,Heavy,17,10,95,3.64,4,Air Filter,55
MH98AB1714,Mahindra Blazo X,2012,2022-07-02,2021-08-17,499763,28026,272,115,3.71,70,71,City,Medium,-4,13,62,3.57,2,Coolant,54
MH29AB9634,BharatBenz 2823R,2019,2022-12-13,2021-06-05,638398,31722,151,118,3.71,74,29,Highway,Heavy,0,9,15,6.02,9,None,32
MH48AB3097,Tata Prima,2015,2022-09-03,2021-10-07,234626,20676,95,70,3.71,76,65,City,Light,23,14,42,3.15,5,Oil Filter,78
MH40AB4935,Mahindra Blazo X,2022,2024-11-25,2021-04-22,726296,3441,115,78,3.71,29,47,Highway,Heavy,21,6,38,2.76,4,Fuel Pump,9
MH88AB5433,Ashok Leyland 3718,2016,2023-05-10,2021-07-03,429039,6195,140,89,3.71,48,62,Highway,Heavy,31,15,30,3.58,5,None,60
MH72AB2737,BharatBenz 2823R,2018,2024-09-10,2021-05-10,578714,39669,213,122,3.71,64,45,Mixed,Light,43,17,63,4.93,18,Coolant,68
